text {key = "igor_answers.chapter11_answer1", value = "18"}
text {key = "igor_answers.chapter12_answer1", value = "roxygen2"}
text {key = "igor_answers.chapter13_answer1", value = "owari"}
text {key = "igor_answers.chapter1_answer1", value = "24"}
text {key = "igor_answers.chapter2_answer1", value = "Kokot"}
text {key = "igor_answers.chapter3_answer1", value = "Galia"}
text {key = "igor_answers.chapter4_answer1", value = "777"}
text {key = "igor_answers.chapter5_answer1", value = "10"}
text {key = "igor_answers.chapter6_answer1", value = "59"}
text {key = "igor_answers.chapter9_answer1", value = "Hylia"}
text {key = "options_menu.back", value = "BACK"}
text {key = "options_menu.language", value = "LANGUAGE"}
text {key = "options_menu.music_volume", value = "MUSIC"}
text {key = "options_menu.sound_volume", value = "SOUND"}
text {key = "options_menu.title", value = "OPTIONS"}
text {key = "pause.commands.action", value = "Action"}
text {key = "pause.commands.action_to_configure", value = "Presione Acción para cambiar este comando"}
text {key = "pause.commands.commands", value = "Orders"}
text {key = "pause.commands.down", value = "Low"}
text {key = "pause.commands.fullscreen", value = "Fullscreen"}
text {key = "pause.commands.item", value = "Usar objeto"}
text {key = "pause.commands.joypad", value = "Joypad"}
text {key = "pause.commands.keyboard", value = "Keyboard"}
text {key = "pause.commands.left", value = "Left"}
text {key = "pause.commands.look", value = "Look around"}
text {key = "pause.commands.map", value = "Map"}
text {key = "pause.commands.monsters", value = "Monstruos derrotados"}
text {key = "pause.commands.pause", value = "Pause"}
text {key = "pause.commands.press_new_key", value = "Presione la nueva tecla"}
text {key = "pause.commands.right", value = "Right"}
text {key = "pause.commands.run", value = "Run"}
text {key = "pause.commands.save", value = "Save"}
text {key = "pause.commands.sword", value = "Sword"}
text {key = "pause.commands.title", value = "ORDERS"}
text {key = "pause.commands.up", value = "Top"}
text {key = "pause.inventory.defense", value = "DEFENSE"}
text {key = "pause.inventory.force", value = "FORCE"}
text {key = "pause.inventory.life", value = "LIFE"}
text {key = "pause.inventory.magic", value = "MAGIC"}
text {key = "pause.inventory.runes", value = "RUNES:"}
text {key = "pause.inventory.status", value = "STATUS:"}
text {key = "pause.inventory.time", value = "TIME"}
text {key = "pause.monsters.title", value = "MONSTRUOS"}
text {key = "records_menu.100_percent_rank", value = "RANK OF 100%"}
text {key = "records_menu.back", value = "BACK"}
text {key = "records_menu.best_time", value = "MEJOR TIEMPO:"}
text {key = "records_menu.clear", value = "CLEAR"}
text {key = "records_menu.clear_question", value = "CLEAR?" }
text {key = "records_menu.no", value = "NO"}
text {key = "records_menu.rank_100_percent", value = "RANK: Hero of Statis $ Juego completo al 100%." }
text {key = "records_menu.rank_speed", value = "RANK: Statis Marathoner $ Termina el juego en menos de $ dos horas." }
text {key = "records_menu.rank_ultimate", value = "RANK: Presumir $ Termina el juego sin morir, $ con un máximo de 10 corazones." }
text {key = "records_menu.speed_rank", value = "RANK OF SPEED"}
text {key = "records_menu.title", value = "RECORDS"}
text {key = "records_menu.ultimate_rank", value = "ULTIMATE RANK"}
text {key = "records_menu.yes", value = "YES"}
text {key = "savegames_menu.cancel", value = "CANCEL"}
text {key = "savegames_menu.delete", value = "DELETE"}
text {key = "savegames_menu.delete_question", value = "BORRAR?" }
text {key = "savegames_menu.explications", value = "Espacio clave para validar"}
text {key = "savegames_menu.load", value = "LOAD"}
text {key = "savegames_menu.no", value = "NO"}
text {key = "savegames_menu.options", value = "OPTIONS"}
text {key = "savegames_menu.records", value = "RECORDS"}
text {key = "savegames_menu.title", value = "PANTALLA DE SELECCIÓN"}
text {key = "savegames_menu.yes", value = "YES"}
text {key = "selection_menu.empty", value = "vacío"}
text {key = "selection_menu.erase", value = "Delete"}
text {key = "selection_menu.phase.choose_name", value = "Escriba la respuesta"}
text {key = "selection_menu.phase.select_answer", value = "Complete la respuesta (s)"}
text {key = "selection_menu.title", value = "SCORES:"}
text {key = "selection_menu.valid", value = "Validate"}
text {key = "stats_menu.death_count", value = "Muerte $ v veces"}
text {key = "stats_menu.extras", value = "Pasajes opcionales:"}
text {key = "stats_menu.game_time", value = "Tiempo de juego:"}
text {key = "stats_menu.monsters", value = "Tipos de enemigos derrotados:"}
text {key = "stats_menu.percent", value = "Terminaste este juego en $ v%, ¡felicitaciones!" }
text {key = "stats_menu.pieces_of_heart", value = "Tengo cuartos de corazones:"}
text {key = "stats_menu.rank", value = "RANG:"}
text {key = "stats_menu.rank.completion.1", value = "level: Hero of Statis"}
text {key = "stats_menu.rank.completion.2", value = "level: Perfectionist"}
text {key = "stats_menu.rank.completion.3", value = "level: IcaRius fan"}
text {key = "stats_menu.rank.completion.4", value = "level: Keyboard pro"}
text {key = "stats_menu.rank.completion.5", value = "level: Confirmed"}
text {key = "stats_menu.rank.completion.6", value = "level: Beginner"}
text {key = "stats_menu.rank.speed.1", value = "speed: Flash Gordon"}
text {key = "stats_menu.rank.speed.2", value = "speed: Statis Marathoner"}
text {key = "stats_menu.rank.speed.3", value = "speed: Turtle"}
text {key = "stats_menu.rank.ultimate", value = "Show-off"}
text {key = "stats_menu.title", value = "ESTADÍSTICAS"}
